ID	Number	Name	Plural	TeReo	Hierarchy	GazetteerName	OSMClass	OSMType	OSMLandUse	WikiLink	WikiData	WikiMi
fe_43	43	Cemetery		Urupā			amenity	grave_yard	cemetery	https://en.wikipedia.org/wiki/Cemetery	Q39614	
fe_44	44	Centre				Building	building		commercial			
fe_45	45	Channel				Channel	natural			https://en.wikipedia.org/wiki/Channel_(geography)	Q1210950	
fe_46	46	Chapel			34	Building	building	chapel	religious	https://en.wikipedia.org/wiki/Chapel	Q108325	
fe_47	47	Chasm				Chasm	natural					
fe_48	48	Church		Whare karakia	33	Building	building	church	religious	https://en.wikipedia.org/wiki/Church_(building)	Q16970	
fe_49	49	Church house			35	Building	building	religious	religious			
fe_50	50	City		Taone		City	place	city		https://en.wikipedia.org/wiki/City	Q515	
fe_51	51	Cliff	Cliffs	Pari		Cliff	natural	cliff		https://en.wikipedia.org/wiki/Cliff	Q107679	
fe_52	52	Clinic		Whare haumanu	43	Building	amenity	clinic	commercial	https://en.wikipedia.org/wiki/Clinic	Q1774898	
fe_53	53	Clubrooms			45	Building	building					
fe_54	54	Coast					natural	coastline		https://en.wikipedia.org/wiki/Coast	Q93352	
fe_55	55	College		Kura	27	Building	amenity	college		https://en.wikipedia.org/wiki/College	Q189004	
fe_56	56	Colliery		Huke waro			man_made	mineshaft		https://en.wikipedia.org/wiki/Coal_mining	Q959309	
fe_57	57	Community				Locality	place	town	residential	https://en.wikipedia.org/wiki/Community	Q486972	
fe_58	58	Community centre				Building	building		residential	https://en.wikipedia.org/wiki/Community_centre	Q77115	
fe_59	59	Community house				Building	building		residential		Q53584699	
fe_60	60	Community marae			20	Building	building		residential	https://en.wikipedia.org/wiki/Marae	Q186685	
fe_61	61	Computer centre				Building	amenity	internet_cafe	retail			
fe_62	62	Cone		Puia koeko			natural	volcano		https://en.wikipedia.org/wiki/Volcanic_cone	Q1368970	
fe_63	63	Convent		Whare none		Building	building	religious	religious	https://en.wikipedia.org/wiki/Convent	Q1128397	
fe_64	64	Corner					highway		highway			
fe_65	65	Country		Whenua			place	country		https://en.wikipedia.org/wiki/Country	Q6256	
fe_66	66	County			2	Locality	place	county		https://en.wikipedia.org/wiki/County	Q28575	
fe_67	67	Cove		Koko		Bay	natural	bay		https://en.wikipedia.org/wiki/Cove	Q31615	
fe_68	68	Craft house			49	Building	building		commercial			
fe_69	69	Crater	Craters			Crater	natural			https://en.wikipedia.org/wiki/Volcanic_crater	Q3240715	
