ID	Number	Name	WikiLink	Wikipedia	WikiData	WikiMi			2001	2006	2013						
iw_57	57	Ngāti Tuara	https://en.wikipedia.org/wiki/Ng%C4%81ti_Kea_Ng%C4%81ti_Tuar%C4%81	Ngāti Kea Ngāti Tuarā	Q25659885	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Tuara	Q25659875										
iw_58	58	Ngāti Uenuku															
iw_59	59	Ngāti Uenuku-Kopako			Q7877467	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Uenuku_K%C5%8Dpako	Q7877467	Uenuku-Kōpako (Te Arawa)	174	429	477						
iw_60	60	Ngāti Wai	https://en.wikipedia.org/wiki/Ng%C4%81ti_Wai	Ngāti Wai	Q7023293		Q7023293	Ngāti Wai	3966	4866	5667						
iw_61	61	Ngāti Wairere	https://en.wikipedia.org/wiki/Waikato_Tainui#Ng%C4%81ti_Wairere	Waikato Tainui#Ngāti Wairere	Q25659712	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Wairere	Q25659712						Q3513610	Te Roroa	966	1170	1179
iw_62	62	Ngāti Whātua	https://en.wikipedia.org/wiki/Ng%C4%81ti_Wh%C4%81tua	Ngāti Whātua	Q1112181	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Wh%C4%81tua	Q1112181	Ngāti Whātua	12105	14721	14784		Q1283558	Ngāpuhi / Ngāti Kahu ki Whaingaroa	1965	1746	2049
iw_63	63	Ngāti Whakāue	https://en.wikipedia.org/wiki/Ng%C4%81ti_Whakaue	Ngāti Whakaue	Q7023291	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Whakaue	Q7023291	Ngāti Whakaue (Te Arawa)	5061	7311	8340						
iw_64	64	Ngāti Whanaunga	https://en.wikipedia.org/wiki/Ng%C4%81ti_Whanaunga	Ngāti Whanaunga	Q7023294	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Whanaunga	Q7023294	Ngāti Whanaunga	399	588	624						
iw_65	65	Ngāti Whare	https://en.wikipedia.org/wiki/Ng%C4%81ti_Whare	Ngāti Whare	Q7023296		Q7023296	Ngāti Whare	690	1281	1254						
iw_66	66	Ngāti Whititama															
iw_67	67	Ngai Tūhoe	https://en.wikipedia.org/wiki/T%C5%ABhoe	Tūhoe	Q7023212	https://mi.wikipedia.org/wiki/Ng%C4%81i_T%C5%ABhoe	Q7023212	Tūhoe	29259	32670	34887						
iw_68	68	Ngai Tai	https://en.wikipedia.org/wiki/Ng%C4%81i_Tai_ki_T%C4%81maki	Ngāi Tai ki Tāmaki	Q7023205		Q7023205	Ngāi Tai ki Tāmaki (Hauraki)	177	339	498						
iw_69	69	Ngai Takoto	https://en.wikipedia.org/wiki/Ng%C4%81i_Takoto	Ngāi Takoto	Q12717191	https://mi.wikipedia.org/wiki/Ng%C4%81i_Takoto	Q12717191	Ngāi Takoto	489	771	1113		Q7023217	Ngāti Hako	924	1377	1392
iw_70	70	Ngai te Rangi	https://en.wikipedia.org/wiki/Ng%C4%81i_Te_Rangi	Ngāi Te Rangi	Q6981120	https://mi.wikipedia.org/wiki/Ng%C4%81i_Te_Rangi	Q6981120	Ngāi Te Rangi	9561	12198	12924						
iw_71	71	Parewahawaha			Q25659624	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Parewahawaha											
iw_72	72	Poutini Kai Tahu															
iw_73	73	Rangitāne	https://en.wikipedia.org/wiki/Rangit%C4%81ne	Rangitāne	Q7292868	https://mi.wikipedia.org/wiki/Rangit%C4%81ne	Q7292868	Rangitāne (Te Matau-a-Māui/Hawke's Bay/Wairarapa)	1197	1566	2217						
iw_74	74	Rangitāne (Tāne-nui-ā-Rangi)	https://en.wikipedia.org/wiki/Rangit%C4%81ne	Rangitāne		https://mi.wikipedia.org/wiki/Rangit%C4%81ne											
iw_75	75	Rongomaiwahine	https://en.wikipedia.org/wiki/Rongomaiwahine	Rongomaiwahine	Q7023259	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Rongomaiwahine	Q7023259	Rongomaiwahine (Te Māhia)	2322	4254	4473						
iw_76	76	Rongowhakāta	https://en.wikipedia.org/wiki/Rongowhakaata	Rongowhakaata	Q7365670	https://mi.wikipedia.org/wiki/Rongowhakaata	Q7365670	Rongowhakaata	3612	4710	4920						
iw_77	77	Tūhourangi	https://en.wikipedia.org/wiki/T%C5%ABhourangi	Tūhourangi	Q7851701	https://mi.wikipedia.org/wiki/T%C5%ABhourangi	Q7851701										
iw_78	78	Tapuika	https://en.wikipedia.org/wiki/Tapuika	Tapuika	Q7684860	https://mi.wikipedia.org/wiki/Tapuika	Q7684860	Tapuika (Te Arawa)	1050	1386	2022						
iw_79	79	Taranaki (Tai Hau-a-uru)	https://en.wikipedia.org/wiki/Taranaki_(iwi)	Taranaki (iwi)	Q7685391	https://mi.wikipedia.org/wiki/Taranaki_(iwi)	Q7685391	Taranaki	5940	5352	6087						
iw_80	80	Taunui Awhiro															
iw_81	81	Te Āti Awa	https://en.wikipedia.org/wiki/Te_Atiawa	Te Atiawa	Q7691049	https://mi.wikipedia.org/wiki/Te_%C4%80ti_Awa	Q7691049										
iw_82	82	Te Āti Hau			Q25659717	https://mi.wikipedia.org/wiki/Te_%C4%80ti_Hau	Q25659717						Q7691002	Te Uri-o-Hau	732	1074	1260
iw_83	83	Te Aitanga ā Māhaki	https://en.wikipedia.org/wiki/Te_Aitanga-a-M%C4%81haki	Te Aitanga-a-Māhaki	Q7690742	https://mi.wikipedia.org/wiki/Te_Aitanga-a-M%C4%81haki	Q7690742	Te Aitanga-a-Māhaki	4365	5877	6258						
iw_84	84	Te Aki Tai			Q25662276	https://mi.wikipedia.org/wiki/Te_Akitai_(Ng%C4%81ti_Tamaoho)											
iw_85	85	Te Aupōuri	https://en.wikipedia.org/wiki/Te_Aup%C5%8Duri	Te Aupōuri	Q845686	https://mi.wikipedia.org/wiki/Te_Aupouri	Q845686	Te Aupōuri	7848	9333	8697						
iw_86	86	Te Māhurehure															
iw_87	87	Te Patuwai					Q25659953										
iw_88	88	Te Rarawa	https://en.wikipedia.org/wiki/Te_Rarawa	Te Rarawa	Q7690952	https://mi.wikipedia.org/wiki/Te_Rarawa	Q7690952	Te Rarawa	11526	14892	16512						
iw_89	89	Te Whānau ā Apanui	https://en.wikipedia.org/wiki/Te_Wh%C4%81nau-%C4%81-Apanui	Te Whānau-ā-Apanui	Q7691037	https://mi.wikipedia.org/wiki/Te_Wh%C4%81nau-a-Apanui	Q7691037	Te Whānau-a-Apanui	9951	11808	12951						
iw_90	90	Waiohua	https://en.wikipedia.org/wiki/Te_%C4%80kitai_Waiohua	Te Ākitai Waiohua	Q25659719	https://mi.wikipedia.org/wiki/Wai-o-Hua	Q28180827										
iw_91	91	Waitaha	https://en.wikipedia.org/wiki/Waitaha_(Bay_of_Plenty_iwi)	Waitaha (Bay of Plenty iwi)	Q2540772		Q2540772	Waitaha (Te Arawa)	477	732	975		Q7125409	Pakakohi	408	324	351
iw_92	92	Whakatōhea	https://en.wikipedia.org/wiki/Whakat%C5%8Dhea	Whakatōhea	Q7691020	https://mi.wikipedia.org/wiki/Te_Whakat%C5%8Dhea	Q7691020	Whakatōhea	9948	12069	12177						
