ZoneID	Zone	Number	IndexName_1	SpokenName_1	Speaker_1	SpeakerID_1	Start_1	End_1	Duration_1	IndexName_2	SpokenName_2	Speaker_2	SpeakerID_2	Start_2	End_2	IndexName_3	SpokenName_3	Speaker_3	SpeakerID_3	Start_3	End_3	CommonName	UnspokenName	ExtendedName	VariantName	MisspelledName	Note_speech	Note_place	SeeType	See	See Text	SeeZoneID_1	SeeZone_1	SeeName_1	SeeNotes_1	SeeZoneID_2	SeeZone_2	SeeName_2	SeeNotes_2	SeeZone_3	SeeName_3	SeeNotes_3	SeeZone_4	SeeName_4	SeeNotes_4	Kind_1	Super_1	Kind_2	Super_2	Kind_3	Super_3	Kind_4	Super_4	Kind_5	Super_5
5	Kāpiti Coast	6	Kenakena	Kenakena	Te Aputa ki Wairua Kauri	114	25.06	26.61	1.55																																					school									
5	Kāpiti Coast	7	Motungārara	Motungārara	Te Aputa ki Wairua Kauri	114	28.23	29.48	1.25																																					island									
5	Kāpiti Coast	8	Muri	Muri	Te Aputa ki Wairua Kauri	114	31	31.7	0.70																																					[railway station]		suburb							
5	Kāpiti Coast	9	Ngā Manu	Ngā Manu	Te Aputa ki Wairua Kauri	114	33.12	34.2	1.08																																					bird sanctuary									
5	Kāpiti Coast	10	Ngāhere	Ngāhere	Te Aputa ki Wairua Kauri	114	35.78	36.73	0.95																																					park									
5	Kāpiti Coast	11	Ngārara	Ngārara	Te Aputa ki Wairua Kauri	114	38.25	39.25	1.00																																					stream									
5	Kāpiti Coast	12	Ōtaihanga	Ōtaihanga	Te Aputa ki Wairua Kauri	114	40.56	41.78	1.22																																					locality									
5	Kāpiti Coast	13	Paekākāriki	Paekākāriki	Te Aputa ki Wairua Kauri	114	43.54	44.99	1.45																																					town									
5	Kāpiti Coast	14	Paraparāumu	Paraparāumu	Te Aputa ki Wairua Kauri	114	46.52	47.96	1.44																																					town									
5	Kāpiti Coast	15	Pekapeka	Pekapeka	Te Aputa ki Wairua Kauri	114	49.7	50.75	1.05																																					beach									
5	Kāpiti Coast	16	Pukerua	Pukerua	Te Aputa ki Wairua Kauri	114	51.86	52.82	0.96																																					bay									
5	Kāpiti Coast	17	Raumati	Raumati	Te Aputa ki Wairua Kauri	114	53.75	55.14	1.39																																					town		beach							
